slug,destination
cursoia-3d-2025-10-h1_directo_cta_rojo_fondo_claro,https://tusitio.com/curso-ia?utm_source=facebook&utm_medium=remarketing&utm_campaign=cursoia_cart_3d_2025-10&utm_content=h1_directo_cta_rojo_fondo_claro&utm_term=mx_3d
cursoia-7d-2025-10-h1_beneficio_cta_amarillo_fondo_degradado,https://tusitio.com/curso-ia?utm_source=facebook&utm_medium=remarketing&utm_campaign=cursoia_cart_7d_2025-10&utm_content=h1_beneficio_cta_amarillo_fondo_degradado&utm_term=mx_7d
cursoia-14d-2025-10-h1_urgencia_cta_rojo_fondo_dark,https://tusitio.com/curso-ia?utm_source=instagram&utm_medium=remarketing&utm_campaign=cursoia_cart_14d_2025-10&utm_content=h1_urgencia_cta_rojo_fondo_dark&utm_term=mx_14d
saasia-3d-2025-10-h1_directo_cta_amarillo_fondo_degradado,https://tusitio.com/saas-ia?utm_source=facebook&utm_medium=remarketing&utm_campaign=saasia_cart_3d_2025-10&utm_content=h1_directo_cta_amarillo_fondo_degradado&utm_term=co_3d
saasia-7d-2025-10-h1_beneficio_cta_rojo_fondo_claro,https://tusitio.com/saas-ia?utm_source=facebook&utm_medium=remarketing&utm_campaign=saasia_cart_7d_2025-10&utm_content=h1_beneficio_cta_rojo_fondo_claro&utm_term=co_7d
saasia-14d-2025-10-h1_urgencia_cta_rojo_fondo_dark,https://tusitio.com/saas-ia?utm_source=instagram&utm_medium=remarketing&utm_campaign=saasia_cart_14d_2025-10&utm_content=h1_urgencia_cta_rojo_fondo_dark&utm_term=co_14d
iabulk-3d-2025-10-h1_directo_cta_rojo_fondo_claro,https://tusitio.com/ia-bulk?utm_source=facebook&utm_medium=remarketing&utm_campaign=iabulk_cart_3d_2025-10&utm_content=h1_directo_cta_rojo_fondo_claro&utm_term=ar_3d
iabulk-7d-2025-10-h1_beneficio_cta_amarillo_fondo_degradado,https://tusitio.com/ia-bulk?utm_source=facebook&utm_medium=remarketing&utm_campaign=iabulk_cart_7d_2025-10&utm_content=h1_beneficio_cta_amarillo_fondo_degradado&utm_term=ar_7d
iabulk-14d-2025-10-h1_urgencia_cta_rojo_fondo_dark,https://tusitio.com/ia-bulk?utm_source=instagram&utm_medium=remarketing&utm_campaign=iabulk_cart_14d_2025-10&utm_content=h1_urgencia_cta_rojo_fondo_dark&utm_term=ar_14d



