similarity,size1,size2,name1,path1,name2,path2
1.00,149936,153869,bio_clones_novela.md,06_documentation/Other/bio_clones_novela.md,bio_clones_novela.html,06_documentation/Templates/bio_clones_novela.html
1.00,128455,128462,plan_contingencia_curso_ia_webinars.md,07_risk_management/Documentation/plan_contingencia_curso_ia_webinars.md,plan_contingencia_curso_ia_webinars.md,07_risk_management/Guides/plan_contingencia_curso_ia_webinars.md
1.00,127498,127480,casos_uso_anchor_texts_20250915_135922.json,01_marketing/Data_files/casos_uso_anchor_texts_20250915_135922.json,casos_uso_anchor_texts_20250915_135639.json,01_marketing/Data_files/casos_uso_anchor_texts_20250915_135639.json
1.00,103585,104647,01__sistema_de_marketing_ultra_revolucionario_la_revo.md,Marketing/01_marketing/Documents/Sistemamarketingultrarevolucionariofinal_split/01__sistema_de_marketing_ultra_revolucionario_la_revo.md,01__sistema_de_marketing_ultra_revolucionario_la_revo.md,Marketing/01_marketing/Documents/Sistemamarketingultrarevolucionario_split/01__sistema_de_marketing_ultra_revolucionario_la_revo.md
1.00,103165,103163,01__línea_de_producción_marketing_canva_curso_ia.md,Marketing/Marketing_canva_ia_split/01__línea_de_producción_marketing_canva_curso_ia.md,01__línea_de_producción_marketing_canva_curso_ia.md,Marketing/01_marketing/Md_files/Marketing_canva_ia_split/01__línea_de_producción_marketing_canva_curso_ia.md
1.00,103165,103147,01__línea_de_producción_marketing_canva_curso_ia.md,Marketing/Marketing_canva_ia_split/01__línea_de_producción_marketing_canva_curso_ia.md,01__línea_de_producción_marketing_canva_curso_ia.md,01_marketing/Other/01__línea_de_producción_marketing_canva_curso_ia.md
1.00,103163,103147,01__línea_de_producción_marketing_canva_curso_ia.md,Marketing/01_marketing/Md_files/Marketing_canva_ia_split/01__línea_de_producción_marketing_canva_curso_ia.md,01__línea_de_producción_marketing_canva_curso_ia.md,01_marketing/Other/01__línea_de_producción_marketing_canva_curso_ia.md
1.00,102645,102291,02_elementos_visuales_que_convierten.md,Marketing/Marketing_canva_ia_split/02_elementos_visuales_que_convierten.md,02_elementos_visuales_que_convierten.md,01_marketing/Other/02_elementos_visuales_que_convierten.md
1.00,102553,100854,07_tecnologías_de_comunidad_global.md,01_marketing/Other/07_tecnologías_de_comunidad_global.md,04_tecnologías_de_comunidad_global.md,01_marketing/Other/04_tecnologías_de_comunidad_global.md
1.00,100459,100289,13_the_180_second_conversion_formula.md,Marketing/01_marketing/Documents/Behavioralpsychologymarketinganalysis_split/13_the_180_second_conversion_formula.md,08_the_72_second_conversion_formula.md,Marketing/01_marketing/Documents/Behavioralpsychologymarketinganalysis_split/08_the_72_second_conversion_formula.md
1.00,100090,100232,05_cluster_cluster_344_43_archivos.md,00_version_management/Content_relationships_split/05_cluster_cluster_344_43_archivos.md,03_cluster_cluster_190_34_archivos.md,00_version_management/Content_relationships_split/03_cluster_cluster_190_34_archivos.md
1.00,99976,100232,04_cluster_cluster_263_2_archivos.md,00_version_management/Content_relationships_split/04_cluster_cluster_263_2_archivos.md,03_cluster_cluster_190_34_archivos.md,00_version_management/Content_relationships_split/03_cluster_cluster_190_34_archivos.md
1.00,98098,100232,02_cluster_cluster_124_48_archivos.md,00_version_management/Content_relationships_split/02_cluster_cluster_124_48_archivos.md,03_cluster_cluster_190_34_archivos.md,00_version_management/Content_relationships_split/03_cluster_cluster_190_34_archivos.md
1.00,100090,99976,05_cluster_cluster_344_43_archivos.md,00_version_management/Content_relationships_split/05_cluster_cluster_344_43_archivos.md,04_cluster_cluster_263_2_archivos.md,00_version_management/Content_relationships_split/04_cluster_cluster_263_2_archivos.md
1.00,100090,98098,05_cluster_cluster_344_43_archivos.md,00_version_management/Content_relationships_split/05_cluster_cluster_344_43_archivos.md,02_cluster_cluster_124_48_archivos.md,00_version_management/Content_relationships_split/02_cluster_cluster_124_48_archivos.md
1.00,99976,98098,04_cluster_cluster_263_2_archivos.md,00_version_management/Content_relationships_split/04_cluster_cluster_263_2_archivos.md,02_cluster_cluster_124_48_archivos.md,00_version_management/Content_relationships_split/02_cluster_cluster_124_48_archivos.md
1.00,93465,91195,plan_contingencia_ia_bulk_documentos.md,07_risk_management/Documentation/plan_contingencia_ia_bulk_documentos.md,plan_contingencia_ia_bulk_documentos.md,07_risk_management/Guides/plan_contingencia_ia_bulk_documentos.md
1.00,84407,83848,index.md,08_ai_artificial_intelligence/Ai_systems/index.md,index.md,06_documentation/Other/index.md
1.00,78960,76566,plan_contingencia_saas_ia_marketing.md,07_risk_management/Documentation/plan_contingencia_saas_ia_marketing.md,plan_contingencia_saas_ia_marketing.md,07_risk_management/Guides/plan_contingencia_saas_ia_marketing.md
0.89,58930,58617,titulos_webinar_ia_conversion_ultra_mega_ultra_hiper_super_ultra_mega_avanzado_plus.md,01_marketing/Other/Templates/titulos_webinar_ia_conversion_ultra_mega_ultra_hiper_super_ultra_mega_avanzado_plus.md,titulos_webinar_ia_conversion_mega_ultra_hiper_super_ultra_mega_avanzado.md,01_marketing/Other/Templates/titulos_webinar_ia_conversion_mega_ultra_hiper_super_ultra_mega_avanzado.md
0.71,54147,56526,clickup_brain_advanced_technology_management_framework.md,06_documentation/Other/clickup_brain_advanced_technology_management_framework.md,clickup_brain_advanced_vendor_management_framework.md,06_documentation/Other/clickup_brain_advanced_vendor_management_framework.md
0.71,52334,54147,clickup_brain_advanced_financial_management_framework.md,06_documentation/Other/clickup_brain_advanced_financial_management_framework.md,clickup_brain_advanced_technology_management_framework.md,06_documentation/Other/clickup_brain_advanced_technology_management_framework.md
0.71,52425,54147,clickup_brain_advanced_knowledge_management_framework.md,06_documentation/Other/clickup_brain_advanced_knowledge_management_framework.md,clickup_brain_advanced_technology_management_framework.md,06_documentation/Other/clickup_brain_advanced_technology_management_framework.md
0.71,52290,54147,clickup_brain_advanced_product_management_framework.md,06_documentation/Other/clickup_brain_advanced_product_management_framework.md,clickup_brain_advanced_technology_management_framework.md,06_documentation/Other/clickup_brain_advanced_technology_management_framework.md
0.71,52912,52439,clickup_brain_advanced_learning_development_framework.md,06_documentation/Other/clickup_brain_advanced_learning_development_framework.md,clickup_brain_advanced_research_development_framework.md,06_documentation/Other/clickup_brain_advanced_research_development_framework.md
0.71,51984,52703,clickup_brain_advanced_innovation_ecosystem_framework.md,06_documentation/Other/clickup_brain_advanced_innovation_ecosystem_framework.md,clickup_brain_advanced_innovation_lab_framework.md,06_documentation/Other/clickup_brain_advanced_innovation_lab_framework.md
0.71,52334,52425,clickup_brain_advanced_financial_management_framework.md,06_documentation/Other/clickup_brain_advanced_financial_management_framework.md,clickup_brain_advanced_knowledge_management_framework.md,06_documentation/Other/clickup_brain_advanced_knowledge_management_framework.md
0.71,52425,52290,clickup_brain_advanced_knowledge_management_framework.md,06_documentation/Other/clickup_brain_advanced_knowledge_management_framework.md,clickup_brain_advanced_product_management_framework.md,06_documentation/Other/clickup_brain_advanced_product_management_framework.md
0.71,52425,50921,clickup_brain_advanced_knowledge_management_framework.md,06_documentation/Other/clickup_brain_advanced_knowledge_management_framework.md,clickup_brain_advanced_quality_management_framework.md,06_documentation/Other/clickup_brain_advanced_quality_management_framework.md
0.71,52425,49887,clickup_brain_advanced_knowledge_management_framework.md,06_documentation/Other/clickup_brain_advanced_knowledge_management_framework.md,clickup_brain_advanced_project_management_framework.md,06_documentation/Other/clickup_brain_advanced_project_management_framework.md
0.71,52334,52290,clickup_brain_advanced_financial_management_framework.md,06_documentation/Other/clickup_brain_advanced_financial_management_framework.md,clickup_brain_advanced_product_management_framework.md,06_documentation/Other/clickup_brain_advanced_product_management_framework.md
