metric,description,formula,value
Total tareas,Cuenta total de tareas,"=COUNTA(Origen!A2:A)",
Completadas (Done),Tareas con status Done,"=COUNTIF(Origen!D:D, ""Done"")",
En progreso,Status In Progress,"=COUNTIF(Origen!D:D, ""In Progress"")",
Bloqueadas,Status Blocked,"=COUNTIF(Origen!D:D, ""Blocked"")",
Pendientes (Todo),Status Todo,"=COUNTIF(Origen!D:D, ""Todo"")",
Vencidas,Due < HOY y ≠ Done,"=COUNTIFS(Origen!F:F, ""<""&TODAY(), Origen!D:D, ""<>Done"")",
Vencen hoy,Due = HOY,"=COUNTIF(Origen!F:F, TODAY())",
Por owner: Growth,Total tareas Growth,"=COUNTIF(Origen!C:C, ""Growth"")",
Por owner: Marketing Ops,Total tareas Mkt Ops,"=COUNTIF(Origen!C:C, ""Marketing Ops"")",
Por owner: RevOps,Total tareas RevOps,"=COUNTIF(Origen!C:C, ""RevOps"")",
Por owner: SDR,Total tareas SDR,"=COUNTIF(Origen!C:C, ""SDR"")",
Por owner: SDR Lead,Total tareas SDR Lead,"=COUNTIF(Origen!C:C, ""SDR Lead"")",
Por owner: QA,Total tareas QA,"=COUNTIF(Origen!C:C, ""QA"")",
% completado,Completadas / Total,"=IFERROR(INDEX(B2,0)/INDEX(B1,0),0)",
