fecha,creative_file,producto,formato,angulo,cta,placement,utm_source,utm_medium,utm_campaign,utm_content,utm_term,landing_url,final_url
2025-11-15,ad_ia_bulk_1200x627_metrics.svg,iabulk,1200x627,metrics,demo,feed,linkedin,cpc,iabulk_demo_linkedin_2025-11,metrics_tiempo_cta_demo_v1,cmo_mx,https://tusitio.com/demo,https://tusitio.com/demo?utm_source=linkedin&utm_medium=cpc&utm_campaign=iabulk_demo_linkedin_2025-11&utm_content=metrics_tiempo_cta_demo_v1&utm_term=cmo_mx
2025-11-15,ad_ia_bulk_1200x627_social_proof.svg,iabulk,1200x627,socialproof,demo,feed,linkedin,cpc,iabulk_demo_linkedin_2025-11,socialproof_testimonio_cta_demo_v1,ops_mx,https://tusitio.com/demo,https://tusitio.com/demo?utm_source=linkedin&utm_medium=cpc&utm_campaign=iabulk_demo_linkedin_2025-11&utm_content=socialproof_testimonio_cta_demo_v1&utm_term=ops_mx
2025-11-15,ad_ia_bulk_1200x627_urgency.svg,iabulk,1200x627,urgency,demo,feed,linkedin,cpc,iabulk_demo_linkedin_2025-11,urgency_limitado_cta_demo_v1,founder_mx,https://tusitio.com/demo,https://tusitio.com/demo?utm_source=linkedin&utm_medium=cpc&utm_campaign=iabulk_demo_linkedin_2025-11&utm_content=urgency_limitado_cta_demo_v1&utm_term=founder_mx
2025-11-15,ad_ia_bulk_1200x627_v2.svg,iabulk,1200x627,base,demo,feed,linkedin,cpc,iabulk_demo_linkedin_2025-11,bulk_base_cta_demo_v2,cmo_mx,https://tusitio.com/demo,https://tusitio.com/demo?utm_source=linkedin&utm_medium=cpc&utm_campaign=iabulk_demo_linkedin_2025-11&utm_content=bulk_base_cta_demo_v2&utm_term=cmo_mx
2025-11-15,ad_ia_bulk_1200x627_light.svg,iabulk,1200x627,light,demo,feed,linkedin,cpc,iabulk_demo_linkedin_2025-11,bulk_light_beneficio_cta_demo_v1,ops_mx,https://tusitio.com/demo,https://tusitio.com/demo?utm_source=linkedin&utm_medium=cpc&utm_campaign=iabulk_demo_linkedin_2025-11&utm_content=bulk_light_beneficio_cta_demo_v1&utm_term=ops_mx
2025-11-15,ad_ia_bulk_1080x1080_metrics.svg,iabulk,1080x1080,metrics,demo,feed,linkedin,cpc,iabulk_demo_linkedin_2025-11,bulk_sq_metrics_tiempo_cta_demo_v1,cmo_mx,https://tusitio.com/demo,https://tusitio.com/demo?utm_source=linkedin&utm_medium=cpc&utm_campaign=iabulk_demo_linkedin_2025-11&utm_content=bulk_sq_metrics_tiempo_cta_demo_v1&utm_term=cmo_mx
2025-11-15,ad_ia_bulk_1080x1080.svg,iabulk,1080x1080,base,demo,feed,linkedin,cpc,iabulk_demo_linkedin_2025-11,bulk_sq_base_cta_demo_v1,ops_mx,https://tusitio.com/demo,https://tusitio.com/demo?utm_source=linkedin&utm_medium=cpc&utm_campaign=iabulk_demo_linkedin_2025-11&utm_content=bulk_sq_base_cta_demo_v1&utm_term=ops_mx
2025-11-15,ad_ia_bulk_1080x1920_metrics.svg,iabulk,1080x1920,metrics,demo,stories,linkedin,cpc,iabulk_demo_linkedin_2025-11,bulk_vt_metrics_tiempo_cta_demo_v1,cmo_mx,https://tusitio.com/demo,https://tusitio.com/demo?utm_source=linkedin&utm_medium=cpc&utm_campaign=iabulk_demo_linkedin_2025-11&utm_content=bulk_vt_metrics_tiempo_cta_demo_v1&utm_term=cmo_mx
2025-11-15,ad_ia_bulk_1080x1920.svg,iabulk,1080x1920,base,demo,stories,linkedin,cpc,iabulk_demo_linkedin_2025-11,bulk_vt_base_cta_demo_v1,founder_mx,https://tusitio.com/demo,https://tusitio.com/demo?utm_source=linkedin&utm_medium=cpc&utm_campaign=iabulk_demo_linkedin_2025-11&utm_content=bulk_vt_base_cta_demo_v1&utm_term=founder_mx
2025-11-15,ad_curso_ia_1200x627_metrics.svg,cursoia,1200x627,metrics,registro,feed,linkedin,cpc,cursoia_registro_linkedin_2025-11,curso_metrics_tiempo_cta_registro_v1,student_mx,https://tusitio.com/registro,https://tusitio.com/registro?utm_source=linkedin&utm_medium=cpc&utm_campaign=cursoia_registro_linkedin_2025-11&utm_content=curso_metrics_tiempo_cta_registro_v1&utm_term=student_mx
