ad_name,utm_content,filename,dco_id
h1_directo_cta_rojo_fondo_claro_v01,h1_directo_cta_rojo_fondo_claro,fb_rmk_[producto]_3d_h1_directo_cta_rojo_fondo_claro_v01.png,curso_3d_a
h1_beneficio_cta_amarillo_fondo_degradado_v01,h1_beneficio_cta_amarillo_fondo_degradado,fb_rmk_[producto]_7d_h1_beneficio_cta_amarillo_fondo_degradado_v01.png,curso_7d_b
h1_urgencia_cta_rojo_fondo_dark_v01,h1_urgencia_cta_rojo_fondo_dark,fb_rmk_[producto]_14d_h1_urgencia_cta_rojo_fondo_dark_v01.png,curso_14d_c
h1_directo_cta_amarillo_fondo_degradado_v01,h1_directo_cta_amarillo_fondo_degradado,fb_rmk_[producto]_3d_h1_directo_cta_amarillo_fondo_degradado_v01.png,saas_3d_a
h1_beneficio_cta_rojo_fondo_claro_v01,h1_beneficio_cta_rojo_fondo_claro,fb_rmk_[producto]_7d_h1_beneficio_cta_rojo_fondo_claro_v01.png,saas_7d_b
h1_urgencia_cta_rojo_fondo_dark_v01,h1_urgencia_cta_rojo_fondo_dark,fb_rmk_[producto]_14d_h1_urgencia_cta_rojo_fondo_dark_v01.png,saas_14d_c
h1_directo_cta_rojo_fondo_claro_v01,h1_directo_cta_rojo_fondo_claro,fb_rmk_[producto]_3d_h1_directo_cta_rojo_fondo_claro_v01.png,bulk_3d_a
h1_beneficio_cta_amarillo_fondo_degradado_v01,h1_beneficio_cta_amarillo_fondo_degradado,fb_rmk_[producto]_7d_h1_beneficio_cta_amarillo_fondo_degradado_v01.png,bulk_7d_b
h1_urgencia_cta_rojo_fondo_dark_v01,h1_urgencia_cta_rojo_fondo_dark,fb_rmk_[producto]_14d_h1_urgencia_cta_rojo_fondo_dark_v01.png,bulk_14d_c



