SECCIÓN,Concepto,Descripción,Unidad,Cantidad,Coste Unitario,Porcentaje,Total Mensual,Notas
INGRESOS,Producto/Servicio 1,,,100,50.00,,5000.00,
INGRESOS,Producto/Servicio 2,,,50,80.00,,4000.00,
INGRESOS,Producto/Servicio 3,,,30,100.00,,3000.00,
INGRESOS,SUB TOTAL INGRESOS,,,180,,,12000.00,
COSTES FIJOS,Alquiler/Local,Espacio comercial o oficina,,1,800.00,,800.00,
COSTES FIJOS,Servicios Básicos,Electricidad agua gas,,1,150.00,,150.00,
COSTES FIJOS,Internet/Teléfono,Comunicaciones,,1,50.00,,50.00,
COSTES FIJOS,Seguros,Seguro general negocio,,1,200.00,,200.00,
COSTES FIJOS,Salarios Fijos,Personal administrativo,,1,2000.00,,2000.00,
COSTES FIJOS,Suscripciones,Software servicios,,1,100.00,,100.00,
COSTES FIJOS,Amortización,Equipos maquinaria,,1,300.00,,300.00,
COSTES FIJOS,Otros Costes Fijos,,,1,100.00,,100.00,
COSTES FIJOS,TOTAL COSTES FIJOS,,,8,,,3700.00,
COSTES VARIABLES,Materias Primas,Insumos producción,Kg,500,2.00,,1000.00,
COSTES VARIABLES,Mano de Obra Variable,Personal producción,Horas,100,15.00,,1500.00,
COSTES VARIABLES,Comisiones,Ventas intermediarios,%,5,12000.00,5.00,600.00,
COSTES VARIABLES,Transporte/Logística,Envíos distribución,Envío,200,3.00,,600.00,
COSTES VARIABLES,Marketing Variable,Publicidad campañas,Campaña,4,200.00,,800.00,
COSTES VARIABLES,Otros Costes Variables,,,1,400.00,,400.00,
COSTES VARIABLES,TOTAL COSTES VARIABLES,,,806,,,4900.00,
ANÁLISIS,Ingresos Totales,,,180,,,12000.00,
ANÁLISIS,Costes Variables Totales,,,806,,,4900.00,
ANÁLISIS,Margen de Contribución,,,-626,,,7100.00,
ANÁLISIS,Margen de Contribución (%),,,-626,,,59.17,
ANÁLISIS,Costes Fijos Totales,,,8,,,3700.00,
ANÁLISIS,Punto de Equilibrio (Unidades),Costes Fijos / Margen Unitario,,,1,3700.00,,78.31,
ANÁLISIS,Punto de Equilibrio (€),Unidades × Precio Medio,,,1,7500.00,,7500.00,
ANÁLISIS,Beneficio Neto,Ingresos - Costes Totales,,,1,,,3400.00,
ANÁLISIS,ROI (%),(Beneficio / Ingresos) × 100,,,1,,,28.33,

