group_index,count,size_bytes,file_path
0,3,12531,/Users/adan/Documents/documentos_blatam/organize_other_folders.py
0,3,12531,/Users/adan/Documents/documentos_blatam/06_documentation/Other/organize_other_folders.py
0,3,12531,/Users/adan/Documents/documentos_blatam/backups/duplicates/ce5511046d1bd2312ceccf3be56cec87e7bc9b2beff2f79b910e1c69c0a54ccd/organize_other_folders.py
1,3,10689,/Users/adan/Documents/documentos_blatam/organize_advanced.py
1,3,10689,/Users/adan/Documents/documentos_blatam/06_documentation/Other/organize_advanced.py
1,3,10689,/Users/adan/Documents/documentos_blatam/backups/duplicates/0cfb158b318e7143e52b5f708af0064c9fc1b0de3c0e1be13aeae20fba4e1ba0/organize_advanced.py
2,3,11476,/Users/adan/Documents/documentos_blatam/organize_deep_cleanup.py
2,3,11476,/Users/adan/Documents/documentos_blatam/06_documentation/Other/organize_deep_cleanup.py
2,3,11476,/Users/adan/Documents/documentos_blatam/backups/duplicates/a43fc63838f6087fd84fa5c750e9d969e84055de31ef4bf682763c7dc39d284f/organize_deep_cleanup.py
3,3,16297,/Users/adan/Documents/documentos_blatam/organize_files.py
3,3,16297,/Users/adan/Documents/documentos_blatam/05_technology/Code_scripts/organize_files.py
3,3,16297,/Users/adan/Documents/documentos_blatam/backups/duplicates/ad92a25a1f830715d10fd2da0b9bde2dc29ad28adf9d0008eaff2f964ce79982/organize_files.py
4,2,2627,/Users/adan/Documents/documentos_blatam/16_data_analytics/Kpis_metrics/kpis_dashboard_template.csv
4,2,2627,/Users/adan/Documents/documentos_blatam/backups/duplicates/6fa83f49a81824be0454419bdb98d74651002db4774c13fa54db0381d8b6eb13/KPIs_Dashboard_Template.csv
5,2,91,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Other/__init__.py
5,2,91,/Users/adan/Documents/documentos_blatam/backups/duplicates/c0a14978ffbbc8390f6d8f7b612bb9998f50338d82a55ec5a537e3b9fbd13142/__init__.py
6,2,24792,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Other/Machine_learning/meta_learning.py
6,2,24792,/Users/adan/Documents/documentos_blatam/backups/duplicates/13d8e014516751befe46bcd92bd9da8c7047205ca57bf77bd0adf894b1634ec9/meta_learning.py
7,2,36902,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Other/Ai_systems/aioptimizationservice.js
7,2,36902,/Users/adan/Documents/documentos_blatam/backups/duplicates/ac402d0c3661af176fbf6dce5976237bcf1539a1e2d684bb53f4624e1de727a9/aiOptimizationService.js
8,2,26212,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Other/Ai_systems/ai_marketing_webinar_additional_content.md
8,2,26212,/Users/adan/Documents/documentos_blatam/backups/duplicates/962d64fd6ffd430198b09b1b7bf10d4f623004975d924be7a83db7d2901a7107/ai-marketing-webinar-additional-content.md
9,2,11703,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Other/Scripts/maintain_project.py
9,2,11703,/Users/adan/Documents/documentos_blatam/backups/duplicates/26e445cabd0348e3976fd5d573d247d8ac5411f0d43c6d702abf4263936c4686/maintain_project.py
10,2,13050,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Other/Scripts/maintain_organization.py
10,2,13050,/Users/adan/Documents/documentos_blatam/backups/duplicates/2572156cea2e172b05386093576d4df37831bad45d899fbcc62c082716c3fa66/maintain_organization.py
11,2,26583,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Other/Scripts/kf_grpo_train.py
11,2,26583,/Users/adan/Documents/documentos_blatam/backups/duplicates/5d44ebf2a0ec212c183ed0acab0d21d19ae07595dedef4f6a84c5bf21690bbc0/kf_grpo_train.py
12,2,15451,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Other/Scripts/demo_training.py
12,2,15451,/Users/adan/Documents/documentos_blatam/backups/duplicates/3ffb32484f85b497dc210fc7adf4738b230d9e5c08bbce0376f9ef7649cb8f1f/demo_training.py
13,2,9254,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Other/Scripts/grpo_train.py
13,2,9254,/Users/adan/Documents/documentos_blatam/backups/duplicates/de926401d94b6d1995a585118f58c9093f249928273da54f1d5e36a87539dd95/grpo_train.py
14,2,20145,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Other/Scripts/main.py
14,2,20145,/Users/adan/Documents/documentos_blatam/backups/duplicates/2fb69811fa4bb62752a90975c36490cfed63723eebcd36d74d9f833bd2e506e3/main.py
15,2,7136,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Other/Scripts/run_training.py
15,2,7136,/Users/adan/Documents/documentos_blatam/backups/duplicates/788e83372e2e19588821b5b319fee6a66c6b19ff2a78ad72235b8cd7eab1f82a/run_training.py
16,2,10825,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Other/Scripts/blockchain.js
16,2,10825,/Users/adan/Documents/documentos_blatam/backups/duplicates/5654af7877b99a6990c7ed35cbd6d24b75ef1e0cee9e4901f07194da7e22b4fe/blockchain.js
17,2,19180,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Ai_systems/ai_marketing_webinar_enhanced_features.html
17,2,19180,/Users/adan/Documents/documentos_blatam/backups/duplicates/02e9bce8f4a610df28040c649ed55525350ed31d9d707238d2fed6d2b997eae1/AI_Marketing_Webinar_Enhanced_Features.html
18,2,22549,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Ai_systems/ai_marketing_case_studies.html
18,2,22549,/Users/adan/Documents/documentos_blatam/backups/duplicates/e08a64e518f50139380767dce6fb99b2078e79c48c42e46460069d98d2cdbfbc/AI_Marketing_Case_Studies.html
19,2,39940,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Ai_systems/ai_marketing_advanced_sections.html
19,2,39940,/Users/adan/Documents/documentos_blatam/backups/duplicates/a8723919a0f96a73fd7aa1da53762a6cd6185f2f168552f6f4556fc5927dccbc/AI_Marketing_Advanced_Sections.html
20,2,21245,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Ai_systems/ai_marketing_advanced_tools_suite.html
20,2,21245,/Users/adan/Documents/documentos_blatam/backups/duplicates/7fcdc9f5b90c8c6cb136d28a9ee545963783cdb4748b88d1672e9b1d4b055cd9/AI_Marketing_Advanced_Tools_Suite.html
21,2,2687,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Ai_systems/ai_response_engine.py
21,2,2687,/Users/adan/Documents/documentos_blatam/backups/duplicates/9250e6d5702ab8e845f35d33feb6fef5824a6204b9f1593ac17c39ca84d8b034/ai_response_engine.py
22,2,6037,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Ai_systems/01_ai_course_executive_summary.pdf
22,2,6037,/Users/adan/Documents/documentos_blatam/backups/duplicates/62f230987986a9f520f7684a044f6a548428d7dca416749f1b2b40d9acd82445/01_AI_Course_Executive_Summary.pdf
23,2,406325,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Ai_systems/ai_job_negotiation_scripts_documentation.html
23,2,406325,/Users/adan/Documents/documentos_blatam/backups/duplicates/fd09976304df2457b7dbaf1a992bb6065329e5cc5843d7ea8558ade11f0a6c3b/AI_Job_Negotiation_Scripts_Documentation.html
24,2,20567,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Ai_systems/03_ai_course_business_plan.docx
24,2,20567,/Users/adan/Documents/documentos_blatam/backups/duplicates/a7eab17fc9806425d10fff052992865e7578c0b732b9774aeecc96dd23eb0848/03_AI_Course_Business_Plan.docx
25,2,15187,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Ai_systems/ai_marketing_roi_calculator.html
25,2,15187,/Users/adan/Documents/documentos_blatam/backups/duplicates/aee17ce823979b298f239149abfbb0ca57b46ab2feda596e027e34804158a2e8/AI_Marketing_ROI_Calculator.html
26,2,997708,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Ai_systems/ai_marketing_webinar_documentation.html
26,2,997708,/Users/adan/Documents/documentos_blatam/backups/duplicates/971622aaafd9943b65e5b3f043ee3f7bc675f3139b96e7a88474fe2bb0cecd01/AI_Marketing_Webinar_Documentation.html
27,2,48760,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Ai_systems/ai_marketing_advanced_features.html
27,2,48760,/Users/adan/Documents/documentos_blatam/backups/duplicates/5bad179a8b830e530046b02e221bef452bc3378c4da964d9b00e3ac6736675dc/AI_Marketing_Advanced_Features.html
28,2,16804,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Ai_systems/ai_marketing_implementation_roadmap.html
28,2,16804,/Users/adan/Documents/documentos_blatam/backups/duplicates/0bccacb88334d1f739314856c6552a64aac6359dff9c0272686abb99fedf38ca/AI_Marketing_Implementation_Roadmap.html
29,2,6650,/Users/adan/Documents/documentos_blatam/08_ai_artificial_intelligence/Neural_networks/neural.js
29,2,6650,/Users/adan/Documents/documentos_blatam/backups/duplicates/a3723cbadd9c72f84eafe5656bf62eea7d4f2aae51a6723da6726f6b839aa12b/neural.js
