=== PUBLICACIONES ===
ID,Tipo,Título,Plataforma,Fecha,Likes,Comentarios,Shares,Impresiones,Reach,Engagement Rate,Engagement Score,Hashtags
post_001,X,Tutorial completo: Método,Instagram,2025-10-24 09:47,285,44,46,3995,3132,9.39%,647.0,"#aprende, #tutorial, #educacion"
post_002,X,Cómo hacer Z en 5 pasos,Twitter,2025-10-20 09:47,297,64,54,1704,1347,24.35%,759.0,"#tutorial, #tips, #aprende, #educacion"
post_003,Z,Nuevo producto disponible,Facebook,2025-10-19 09:47,73,5,5,3579,2429,2.32%,113.0,"#nuevo, #producto, #promocion, #oferta"
post_004,X,Tutorial completo: Método,Instagram,2025-10-16 09:47,110,13,11,722,648,18.56%,204.0,"#educacion, #aprende, #tips, #tutorial"
post_005,X,Tutorial completo: Método,LinkedIn,2025-11-07 09:47,288,49,42,3868,2843,9.80%,645.0,"#educacion, #tips, #tutorial, #aprende"
post_006,Y,Viral: Momento increíble,Instagram,2025-10-16 09:47,168,19,13,4066,3155,4.92%,290.0,"#trending, #viral, #entretenimiento"
post_007,Z,Oferta especial: 32% descuento,LinkedIn,2025-10-30 09:47,0,0,0,1174,732,0.00%,0.0,"#oferta, #nuevo, #promocion, #producto"
post_008,X,Aprende aquello en minutos,LinkedIn,2025-10-22 09:47,336,39,36,2025,1574,20.30%,633.0,"#educacion, #aprende, #tips, #tutorial"
post_009,Y,Trending: Lo nuevo,Facebook,2025-10-24 09:47,213,33,21,2632,1611,10.14%,417.0,"#entretenimiento, #trending, #viral, #diversion"
post_010,X,Cómo hacer X en 5 pasos,LinkedIn,2025-10-22 09:47,360,60,71,2560,1539,19.18%,895.0,"#tutorial, #educacion, #aprende, #tips"
post_011,Z,Lanzamiento: Producto,TikTok,2025-10-26 09:47,93,12,2,3662,2342,2.92%,139.0,"#producto, #promocion, #oferta"
post_012,Z,Descubre nuestra promoción,TikTok,2025-10-13 09:47,0,6,4,712,547,1.40%,38.0,"#promocion, #producto, #oferta, #nuevo"
post_013,X,Aprende aquello en minutos,TikTok,2025-10-20 09:47,82,16,26,1860,1615,6.67%,260.0,"#aprende, #tutorial, #tips, #educacion"
post_014,Y,Esto te va a sorprender,TikTok,2025-10-23 09:47,79,1,3,1013,686,8.19%,97.0,"#viral, #diversion, #trending, #entretenimiento"
post_015,X,Cómo hacer Z en 5 pasos,TikTok,2025-11-11 09:47,477,109,55,4549,3110,14.09%,1079.0,"#educacion, #tutorial, #tips"
post_016,Z,Descubre nuestra oferta,TikTok,2025-10-14 09:47,91,15,7,2994,2066,3.77%,171.0,"#nuevo, #promocion, #producto, #oferta"
post_017,Z,Oferta especial: 49% descuento,Facebook,2025-10-26 09:47,149,15,0,3769,2301,4.35%,194.0,"#oferta, #nuevo, #producto, #promocion"
post_018,X,5 tips para mejorar tu habilidad,Instagram,2025-11-11 09:47,637,105,64,4752,2885,16.96%,1272.0,"#tips, #tutorial, #aprende, #educacion"
post_019,X,Aprende aquello en minutos,LinkedIn,2025-10-14 09:47,110,25,16,872,734,17.32%,265.0,"#aprende, #educacion, #tips, #tutorial"
post_020,X,Aprende esto en minutos,LinkedIn,2025-10-24 09:47,412,93,76,2520,2107,23.06%,1071.0,"#tips, #educacion, #aprende, #tutorial"
post_021,Y,Trending: Lo mejor,Facebook,2025-10-24 09:47,344,47,41,3386,2195,12.76%,690.0,"#diversion, #entretenimiento, #viral, #trending"
post_022,Y,No vas a creer lo que pasó,TikTok,2025-11-02 09:47,300,37,38,3605,2366,10.40%,601.0,"#viral, #entretenimiento, #diversion, #trending"
post_023,Z,Descubre nuestra oferta,Twitter,2025-10-31 09:47,71,0,5,3504,2355,2.17%,96.0,"#nuevo, #promocion, #oferta, #producto"
post_024,Y,Trending: Lo nuevo,TikTok,2025-11-11 09:47,49,15,12,1520,1101,5.00%,154.0,"#diversion, #trending, #entretenimiento, #viral"
post_025,Y,Trending: Lo nuevo,Facebook,2025-11-02 09:47,206,27,22,3786,2699,6.74%,397.0,"#entretenimiento, #diversion, #trending, #viral"
post_026,Y,Viral: Historia increíble,Twitter,2025-11-12 09:47,71,8,9,912,726,9.65%,140.0,"#entretenimiento, #diversion, #viral"
post_027,X,Tutorial completo: Técnica,Facebook,2025-11-09 09:47,301,52,43,2872,2122,13.79%,672.0,"#tips, #educacion, #aprende"
post_028,Z,Oferta especial: 39% descuento,TikTok,2025-10-26 09:47,65,4,6,1031,680,7.27%,107.0,"#nuevo, #producto, #promocion, #oferta"
post_029,Y,No vas a creer lo que pasó,TikTok,2025-10-27 09:47,396,48,34,4224,3455,11.32%,710.0,"#entretenimiento, #trending, #diversion"
post_030,Y,Trending: Lo mejor,Twitter,2025-10-31 09:47,75,0,0,566,432,13.25%,75.0,"#entretenimiento, #trending, #viral, #diversion"

=== ANÁLISIS POR TIPO ===
Tipo,Nombre,Cantidad,Engagement Total,Engagement Promedio,Engagement Rate,Likes Promedio,Comentarios Promedio,Shares Promedio
X,Tutoriales/Educativos,12,4904,408.6666666666667,16.12%,307.9166666666667,55.75,45.0
Z,Promocional/Producto,8,628,78.5,3.03%,67.75,7.125,3.625
Y,Entretenimiento/Viral,10,2329,232.9,9.24%,190.1,23.5,19.3
